user_id,created_at,age,mood,tidur,aktivitas,energi,stres,sosial,wellbeing_score,label,ab_group,completed_recommendation,session_seconds
U0001,2026-05-01,18,4,4,5,4,1,4,26,Good,B,0,245
U0002,2026-05-02,15,3,3,3,3,3,5,20,Neutral,B,1,231
U0003,2026-05-03,23,4,4,3,2,3,4,20,Neutral,B,1,231
U0004,2026-05-04,17,2,2,1,1,4,1,9,Distressed,A,1,121
U0005,2026-05-05,17,2,2,1,2,4,2,11,Distressed,B,0,151
U0006,2026-05-06,22,4,4,4,4,2,4,24,Good,B,1,156
U0007,2026-05-07,21,4,5,4,3,2,4,24,Good,B,1,203
U0008,2026-05-08,29,4,2,4,4,2,2,20,Neutral,A,0,165
U0009,2026-05-09,16,3,3,3,1,5,2,13,Low,A,1,167
U0010,2026-05-10,19,1,2,1,2,5,2,9,Distressed,A,1,208
U0011,2026-05-11,31,5,5,5,5,1,4,29,Great,A,0,194
U0012,2026-05-12,27,3,5,4,5,1,4,26,Good,B,1,192
U0013,2026-05-13,32,3,4,2,4,4,2,17,Neutral,B,1,192
U0014,2026-05-14,31,1,2,1,3,5,2,10,Distressed,B,1,238
U0015,2026-05-15,32,1,2,1,1,5,1,7,Distressed,B,0,257
U0016,2026-05-16,16,5,4,4,5,2,4,26,Good,A,1,153
U0017,2026-05-17,19,3,3,5,4,1,5,25,Good,A,1,150
U0018,2026-05-18,21,4,3,2,4,4,4,19,Neutral,B,1,200
U0019,2026-05-19,18,3,3,2,2,5,2,13,Low,A,1,230
U0020,2026-05-20,16,1,1,1,1,4,1,7,Distressed,B,1,216
U0021,2026-05-21,22,4,5,5,4,1,5,28,Great,B,0,216
U0022,2026-05-22,16,4,4,4,4,2,5,25,Good,B,0,226
U0023,2026-05-23,22,2,2,3,4,3,2,16,Low,A,1,196
U0024,2026-05-24,16,2,1,1,2,5,1,8,Distressed,B,1,229
U0025,2026-05-25,30,1,1,1,1,5,2,7,Distressed,A,1,216
U0026,2026-05-26,19,5,5,5,5,2,5,29,Great,A,1,194
U0027,2026-05-27,25,3,5,5,5,1,5,28,Great,A,1,101
U0028,2026-05-01,34,2,2,4,2,2,2,16,Low,A,0,178
U0029,2026-05-02,16,2,1,3,1,5,3,11,Distressed,B,1,167
U0030,2026-05-03,19,2,1,2,1,5,2,9,Distressed,B,1,185
U0031,2026-05-04,32,5,4,4,5,1,4,27,Great,A,1,255
U0032,2026-05-05,24,3,4,4,3,2,5,23,Good,B,0,176
U0033,2026-05-06,18,4,4,2,4,4,3,19,Neutral,B,1,224
U0034,2026-05-07,25,3,1,2,2,5,1,10,Distressed,A,1,192
U0035,2026-05-08,23,2,2,2,1,4,2,11,Distressed,A,1,256
U0036,2026-05-09,19,4,5,5,4,1,4,27,Great,B,0,291
U0037,2026-05-10,24,5,5,3,4,1,3,25,Good,A,0,191
